Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,26,7,2022,21,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,123018,124890,126407,127297,128123,128929,129819,130479,131198,131992,132697,133278,134038,134854,135673,136717,137896,139585,141886
LSHTM,26,7,2022,22,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,118136,119919,121244,122177,122889,123738,124555,125294,125968,126664,127319,127948,128651,129451,130214,131233,132360,134146,136324
LSHTM,26,7,2022,23,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,114401,115993,117261,118193,118984,119740,120465,121278,121891,122591,123209,123805,124493,125291,125983,126979,128100,129819,132016
LSHTM,26,7,2022,24,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,111564,113255,114349,115279,116124,116853,117580,118198,118930,119555,120219,120781,121434,122116,122910,123810,125117,126595,128827
LSHTM,26,7,2022,25,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,109643,111182,112232,113220,114062,114715,115397,116062,116753,117366,118008,118617,119250,119894,120630,121672,122926,124302,126677
LSHTM,26,7,2022,26,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,108508,109780,110800,111839,112599,113342,114072,114669,115234,115896,116574,117179,117733,118490,119229,120213,121372,122729,125126
LSHTM,26,7,2022,27,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,107551,108832,110026,110952,111737,112477,113123,113782,114385,114942,115600,116180,116821,117563,118355,119174,120343,121671,124085
LSHTM,26,7,2022,28,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,106941,108331,109466,110447,111278,111949,112629,113176,113824,114421,114968,115593,116255,116934,117706,118520,119644,121127,123207
LSHTM,26,7,2022,29,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,106534,108007,109093,110117,110892,111594,112212,112836,113385,113942,114478,115122,115789,116461,117218,118179,119221,120687,122577
LSHTM,26,7,2022,30,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,106079,107682,108698,109737,110594,111190,111809,112449,112969,113488,114027,114618,115304,116035,116810,117657,118770,120175,121865
LSHTM,26,7,2022,1,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,105594,107155,108244,109230,110024,110617,111219,111861,112464,112952,113513,114085,114721,115445,116196,117074,118168,119472,121270
LSHTM,26,7,2022,2,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,105005,106349,107508,108473,109157,109783,110378,110957,111608,112208,112712,113287,113901,114651,115341,116147,117277,118485,120276
LSHTM,26,7,2022,3,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,104040,105326,106474,107335,107934,108507,109181,109815,110436,111107,111659,112148,112738,113392,114150,115024,115985,117141,118905
LSHTM,26,7,2022,4,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,102716,104057,104951,105742,106365,107067,107723,108238,108889,109470,110078,110654,111230,111901,112576,113453,114321,115575,117124
LSHTM,26,7,2022,5,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,101003,102331,103117,103901,104524,105216,105826,106445,107033,107559,108139,108752,109312,110043,110647,111469,112385,113527,115185
LSHTM,26,7,2022,6,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,98917,100290,101078,101792,102413,103018,103728,104262,104777,105366,105901,106504,107158,107734,108406,109154,110069,111235,112726
LSHTM,26,7,2022,7,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,96528,97960,98804,99491,100039,100654,101289,101867,102357,102991,103443,104036,104648,105188,105888,106583,107459,108540,110135
LSHTM,26,7,2022,8,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,94049,95475,96313,96967,97634,98189,98750,99321,99814,100366,100883,101390,101976,102578,103202,103898,104719,105763,107462
LSHTM,26,7,2022,9,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,91568,92977,93779,94482,95093,95642,96240,96753,97265,97779,98214,98760,99225,99821,100524,101220,101956,102927,104421
LSHTM,26,7,2022,10,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,89231,90456,91341,91996,92585,93243,93797,94278,94738,95225,95668,96125,96648,97241,97848,98530,99375,100372,101671
LSHTM,26,7,2022,11,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,87045,88146,89075,89755,90353,90899,91426,91962,92449,92886,93309,93762,94270,94825,95479,96113,96951,97976,99300
LSHTM,26,7,2022,12,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,84978,86129,87036,87746,88343,88817,89325,89862,90357,90822,91306,91767,92170,92662,93371,94027,94865,95807,97312
LSHTM,26,7,2022,13,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,83266,84606,85331,86096,86656,87165,87645,88080,88589,89075,89596,90017,90481,91003,91648,92397,93125,94109,95602
LSHTM,26,7,2022,14,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,82003,83295,84099,84799,85360,85918,86381,86878,87300,87769,88292,88739,89210,89772,90438,91179,91879,92917,94635
LSHTM,26,7,2022,15,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,81226,82533,83313,84010,84577,85078,85632,86067,86572,87019,87501,87923,88441,89016,89737,90393,91172,92270,93972
LSHTM,26,7,2022,16,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,80929,82178,83031,83701,84283,84819,85381,85848,86319,86775,87284,87698,88244,88830,89540,90225,90976,92136,93867
LSHTM,26,7,2022,17,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,81253,82418,83235,84005,84536,85149,85696,86161,86610,87110,87560,88079,88570,89174,89858,90602,91438,92536,94205
LSHTM,26,7,2022,18,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,81991,83113,84011,84772,85432,86043,86528,87067,87520,88036,88496,89013,89537,90087,90856,91561,92487,93492,95298
LSHTM,26,7,2022,19,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,83320,84504,85362,86104,86788,87404,87969,88504,88949,89456,90022,90504,91052,91714,92336,93125,94068,95177,96914
LSHTM,26,7,2022,20,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,85121,86315,87267,88006,88727,89291,89936,90466,90984,91459,92046,92602,93144,93755,94477,95245,96271,97340,99145
LSHTM,26,7,2022,21,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,87519,88735,89707,90533,91176,91780,92360,92978,93488,94078,94617,95242,95815,96466,97180,97967,98911,100089,102122
LSHTM,26,7,2022,22,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,90375,91628,92574,93448,94166,94775,95368,95906,96543,97101,97760,98324,98946,99670,100361,101221,102107,103481,105481
LSHTM,26,7,2022,23,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,93528,94901,95938,96892,97517,98155,98840,99398,100047,100645,101283,101948,102562,103326,104029,104867,105896,107212,109189
LSHTM,26,7,2022,24,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,97088,98625,99758,100677,101362,101979,102664,103338,104010,104633,105277,105945,106711,107443,108141,109082,110095,111365,113600
LSHTM,26,7,2022,25,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,101059,102649,103938,104833,105586,106278,106858,107617,108344,109032,109644,110346,111066,111840,112680,113604,114683,116139,118185
LSHTM,26,7,2022,26,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,105414,107060,108248,109225,110016,110825,111514,112237,112939,113652,114397,115069,115832,116613,117417,118392,119616,121239,123111
LSHTM,26,7,2022,27,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,109886,111726,112992,113980,114779,115596,116362,117054,117828,118533,119262,120107,120820,121586,122443,123503,124786,126372,128281
LSHTM,26,7,2022,28,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,114808,116613,117840,118942,119783,120633,121337,122154,122934,123668,124413,125202,125980,126770,127721,128958,130200,131780,133611
LSHTM,26,7,2022,29,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,119684,121548,122947,124033,124927,125771,126655,127322,128139,128993,129693,130539,131342,132149,133186,134246,135676,137316,139382
LSHTM,26,7,2022,30,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,124712,126677,128162,129368,130177,131047,132005,132764,133593,134285,135103,135921,136800,137637,138740,139970,141240,143067,145077
LSHTM,26,7,2022,31,5,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,129989,131882,133554,134702,135593,136536,137468,138289,139093,139797,140645,141461,142365,143215,144353,145669,146870,148768,151101
LSHTM,26,7,2022,1,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,135164,137297,138888,140179,141151,141963,143073,143939,144703,145469,146254,147149,147983,148801,150111,151383,152736,154702,157068
LSHTM,26,7,2022,2,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,140616,142855,144493,145729,146760,147733,148668,149639,150401,151205,152034,152945,153801,154707,155763,157221,158679,160662,163219
LSHTM,26,7,2022,3,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,146086,148398,150124,151465,152500,153456,154439,155374,156353,157080,157905,158834,159695,160657,161691,163259,164930,166952,169551
LSHTM,26,7,2022,4,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,151823,154126,155929,157293,158499,159349,160286,161261,162237,163169,164039,164852,165874,166770,168013,169478,171086,173585,176126
LSHTM,26,7,2022,5,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,157668,160112,161858,163289,164511,165438,166445,167336,168427,169350,170428,171254,172155,173221,174426,175920,177626,179997,183034
LSHTM,26,7,2022,6,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,163915,166358,168065,169560,170735,171847,172670,173717,174842,175855,176892,177773,178786,179997,181169,182649,184417,186965,190127
LSHTM,26,7,2022,7,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,170071,172698,174545,175980,177253,178313,179320,180473,181573,182612,183622,184622,185642,186860,188213,189858,191473,194145,197239
LSHTM,26,7,2022,8,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,176751,179432,181275,182811,184037,185204,186300,187461,188509,189654,190750,191827,192968,194129,195553,197355,199033,201596,205073
LSHTM,26,7,2022,9,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,183443,186578,188371,189826,191412,192580,193738,194854,195931,197071,198201,199301,200515,201744,203320,205275,207206,209325,213186
LSHTM,26,7,2022,10,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,190677,193873,195795,197413,199056,200261,201437,202695,203740,204910,206153,207374,208510,209854,211450,213389,215512,217854,221692
LSHTM,26,7,2022,11,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,198075,201555,203555,205533,207106,208540,209614,210977,212088,213166,214420,215974,217180,218475,220139,222113,224369,226953,230776
LSHTM,26,7,2022,12,6,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,206332,209821,211962,214009,215574,217198,218315,219746,220828,221987,223372,224931,226172,227687,229198,231333,233694,236562,240591
