Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,19,7,2022,14,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,198592,201052,202975,204309,205443,206487,207715,208730,209541,210518,211549,212574,213645,214777,215903,217323,218867,220831,224099
LSHTM,19,7,2022,15,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,182861,185617,187326,188665,189774,190789,191864,192767,193599,194517,195506,196530,197577,198601,199606,200800,202264,204305,207450
LSHTM,19,7,2022,16,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,168700,171497,173142,174312,175536,176466,177385,178160,178976,179956,180805,181834,182817,183826,184701,185804,187234,189021,191805
LSHTM,19,7,2022,17,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,156338,159043,160348,161626,162786,163699,164542,165260,166034,166921,167790,168654,169634,170658,171506,172468,173854,175484,178322
LSHTM,19,7,2022,18,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,145472,147960,149347,150624,151597,152535,153350,154061,154767,155516,156417,157218,158191,159031,159973,160839,162008,163696,166477
LSHTM,19,7,2022,19,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,136426,138557,140038,141131,142083,142980,143730,144503,145145,145864,146601,147557,148326,149109,149878,150958,151969,153673,156322
LSHTM,19,7,2022,20,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,128726,130814,132200,133271,134178,134982,135720,136476,137127,137729,138472,139400,140160,140882,141578,142581,143688,145305,147654
LSHTM,19,7,2022,21,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,122406,124469,125737,126917,127776,128439,129282,129880,130584,131265,131893,132723,133476,134142,134920,135795,136931,138526,140699
LSHTM,19,7,2022,22,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,117550,119390,120721,121869,122751,123389,124048,124671,125378,125982,126708,127411,128181,128811,129585,130384,131558,132940,135154
LSHTM,19,7,2022,23,4,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,113472,115487,116866,117970,118867,119465,120091,120746,121332,121968,122619,123305,124045,124701,125544,126363,127370,128771,130827
